"โรงพยาบาล","ภาคเรียนที่ 2(ตค.-มีค.)","ภาคเรียนที่ 1(เมย.-กย.)"
"HPV1รหัส310(A1)","HPV2รหัส320(A2)","HPV1รหัส310(A1)","HPV2รหัส320(A2)"
"11213  :  โรงพยาบาลเก้าเลี้ยว","36","0","0","0"
"11214  :  โรงพยาบาลตาคลี","0","53","0","0"
"11215  :  โรงพยาบาลท่าตะโก","0","0","0","0"
"11216  :  โรงพยาบาลไพศาลี","0","0","0","32"
"11217  :  โรงพยาบาลพยุหะคีรี","0","0","0","0"
"11218  :  โรงพยาบาลลาดยาว","0","0","0","114"
"11219  :  โรงพยาบาลตากฟ้า","0","0","0","0"
"11220  :  โรงพยาบาลแม่วงก์","6","0","0","0"
"11513  :  โรงพยาบาลค่ายจิรประวัติ","0","0","0","0"
"12030  :  โรงพยาบาลพริ้นซ์ ปากน้ำโพ 1 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"12033  :  โรงพยาบาลรวมแพทย์นครสวรรค์","0","0","0","0"
"12034  :  โรงพยาบาลพริ้นซ์ ปากน้ำโพ 2 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"12042  :  โรงพยาบาลร่มฉัตร","0","0","0","0"
"12044  :  โรงพยาบาลศรีสวรรค์","0","0","0","0"
"12284  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 3","0","0","4","4"
"14171  :  โรงพยาบาลจิตเวชนครสวรรค์ราชนครินทร์","0","0","0","0"
"40749  :  โรงพยาบาลชุมตาบง","0","0","0","0"
"10720  :  โรงพยาบาลอุทัยธานี","0","0","0","0"
"11221  :  โรงพยาบาลทัพทัน","41","0","0","39"
"11222  :  โรงพยาบาลสว่างอารมณ์","35","0","0","33"
"11223  :  โรงพยาบาลหนองฉาง","58","0","0","58"
"11224  :  โรงพยาบาลหนองขาหย่าง","12","0","3","13"
"11225  :  โรงพยาบาลบ้านไร่","72","0","0","0"
"11226  :  โรงพยาบาลลานสัก","54","0","0","17"
"11227  :  โรงพยาบาลห้วยคต","30","0","0","0"
"10721  :  โรงพยาบาลกำแพงเพชร","0","0","0","0"
"11228  :  โรงพยาบาลทุ่งโพธิ์ทะเล","0","0","0","39"
"11229  :  โรงพยาบาลไทรงาม","4","0","0","0"
"11230  :  โรงพยาบาลคลองลาน","97","1","0","0"
"11231  :  โรงพยาบาลขาณุวรลักษบุรี","0","0","0","0"
"11232  :  โรงพยาบาลคลองขลุง","0","0","0","10"
"11233  :  โรงพยาบาลพรานกระต่าย","0","0","1","0"
"11234  :  โรงพยาบาลลานกระบือ","0","0","0","0"
"11235  :  โรงพยาบาลทรายทองวัฒนา","0","0","0","0"
"11236  :  โรงพยาบาลปางศิลาทอง","9","0","13","0"
"14135  :  โรงพยาบาลบึงสามัคคี","0","0","0","15"
"28010  :  โรงพยาบาลโกสัมพีนคร","0","0","0","14"
"10722  :  โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช","10","0","0","304"
"10723  :  โรงพยาบาลแม่สอด","0","0","0","162"
"11238  :  โรงพยาบาลบ้านตาก","0","0","0","0"
"11239  :  โรงพยาบาลสามเงา","0","0","0","0"
"11240  :  โรงพยาบาลแม่ระมาด","0","46","0","27"
"11241  :  โรงพยาบาลท่าสองยาง","1","0","0","43"
"11242  :  โรงพยาบาลพบพระ","5","0","1","18"
"11243  :  โรงพยาบาลอุ้มผาง","0","37","1","0"
"27443  :  โรงพยาบาลวังเจ้า","0","0","0","0"
"10724  :  โรงพยาบาลสุโขทัย","240","1","0","86"
"10725  :  โรงพยาบาลศรีสังวรสุโขทัย","0","1","0","0"
"11244  :  โรงพยาบาลบ้านด่านลานหอย","0","0","0","0"
"11245  :  โรงพยาบาลคีรีมาศ","30","0","0","0"
"11246  :  โรงพยาบาลกงไกรลาศ","0","0","0","0"
"11247  :  โรงพยาบาลศรีสัชนาลัย","0","72","0","0"
"11248  :  โรงพยาบาลสวรรคโลก","0","0","0","0"
"11249  :  โรงพยาบาลศรีนคร","71","0","0","70"
"11250  :  โรงพยาบาลทุ่งเสลี่ยม","113","0","0","109"
"10676  :  โรงพยาบาลพุทธชินราช","0","0","0","0"
"11251  :  โรงพยาบาลชาติตระการ","0","0","0","0"
"11252  :  โรงพยาบาลบางระกำ","0","0","1","83"
"11253  :  โรงพยาบาลบางกระทุ่ม","0","0","0","41"
"11254  :  โรงพยาบาลพรหมพิราม","1","0","0","70"
"11255  :  โรงพยาบาลวัดโบสถ์","0","0","0","71"
"11256  :  โรงพยาบาลวังทอง","0","0","0","0"
"11257  :  โรงพยาบาลเนินมะปราง","0","0","0","0"
"11455  :  โรงพยาบาลสมเด็จพระยุพราชนครไทย","39","0","0","0"
"11517  :  โรงพยาบาลค่ายสมเด็จพระนเรศวร","0","0","0","0"
"14972  :  โรงพยาบาลมหาวิทยาลัยนเรศวร","0","0","0","0"
"41429  :  โรงพยาบาลจิตเวชพิษณุโลก","0","0","0","0"
"10726  :  โรงพยาบาลพิจิตร","0","0","0","0"
"11258  :  โรงพยาบาลวังทรายพูน","0","0","1","0"
"11259  :  โรงพยาบาลโพธิ์ประทับช้าง","2","0","0","0"
"11260  :  โรงพยาบาลบางมูลนาก","171","0","0","0"
"11261  :  โรงพยาบาลโพทะเล","63","0","0","0"
"11262  :  โรงพยาบาลสามง่าม","0","0","0","25"
"11263  :  โรงพยาบาลทับคล้อ","38","1","1","38"
"11456  :  โรงพยาบาลสมเด็จพระยุพราชตะพานหิน","179","0","0","19"
"11631  :  โรงพยาบาลวชิรบารมี","10","0","0","0"
"27978  :  โรงพยาบาลสากเหล็ก","0","0","0","25"
"27979  :  โรงพยาบาลบึงนาราง","0","0","0","0"
"27980  :  โรงพยาบาลดงเจริญ","0","0","0","0"
"10727  :  โรงพยาบาลเพชรบูรณ์","253","0","0","0"
"11264  :  โรงพยาบาลชนแดน","114","0","0","0"
"11265  :  โรงพยาบาลหล่มสัก","0","0","0","0"
"11266  :  โรงพยาบาลวิเชียรบุรี","8","0","0","0"
"11267  :  โรงพยาบาลศรีเทพ","0","0","0","0"
"11268  :  โรงพยาบาลหนองไผ่","124","0","0","58"
"11269  :  โรงพยาบาลบึงสามพัน","4","0","0","0"
"11270  :  โรงพยาบาลน้ำหนาว","28","3","1","27"
"11271  :  โรงพยาบาลวังโป่ง","0","0","1","0"
"11272  :  โรงพยาบาลเขาค้อ","0","0","0","0"
"11457  :  โรงพยาบาลสมเด็จพระยุพราชหล่มเก่า","4","0","0","0"
"11946  :  โรงพยาบาลค่ายพ่อขุนผาเมือง","0","0","0","0"
"10677  :  โรงพยาบาลราชบุรี","0","0","0","0"
"10728  :  โรงพยาบาลดำเนินสะดวก","0","0","0","0"
"10729  :  โรงพยาบาลบ้านโป่ง","0","0","153","0"
"10730  :  โรงพยาบาลโพธาราม","0","0","0","0"
"11273  :  โรงพยาบาลสวนผึ้ง","46","0","0","0"
"11274  :  โรงพยาบาลบางแพ","40","0","4","35"
"11275  :  โรงพยาบาลเจ็ดเสมียน","0","0","0","0"
"11276  :  โรงพยาบาลปากท่อ","45","0","40","0"
"11277  :  โรงพยาบาลวัดเพลง","47","0","0","45"
"11458  :  โรงพยาบาลสมเด็จพระยุพราชจอมบึง","0","0","100","0"
"11519  :  โรงพยาบาลค่ายภาณุรังษี","0","0","0","0"
"12093  :  สถานพยาบาลแพทย์ประดิษฐ์","0","0","0","0"
"12097  :  มหาชัยพร้อมแพทย์โรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0"
"12098  :  โรงพยาบาลกรุงเทพเมืองราชโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"12103  :  โรงพยาบาลซานคามิลโล","0","0","0","0"
"12286  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 5","0","0","0","1"
"28858  :  โรงพยาบาลบ้านคา","9","0","0","0"
"10731  :  โรงพยาบาลพหลพลพยุหเสนา","1","0","0","0"
"10732  :  โรงพยาบาลมะการักษ์","103","102","0","0"
"11278  :  โรงพยาบาลไทรโยค","0","0","0","0"
"11279  :  โรงพยาบาลสมเด็จพระปิยมหาราชรมณียเขต","34","0","0","0"
"11280  :  โรงพยาบาลบ่อพลอย","0","0","0","0"
"11281  :  โรงพยาบาลท่ากระดาน","15","14","0","0"
"11282  :  โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ ๑๙","283","277","1","0"
"11283  :  โรงพยาบาลทองผาภูมิ","26","30","0","0"
"11284  :  โรงพยาบาลสังขละบุรี","102","88","0","0"
"11285  :  โรงพยาบาลเจ้าคุณไพบูลย์พนมทวน","37","34","0","0"
"11286  :  โรงพยาบาลเลาขวัญ","1","1","0","0"
"11287  :  โรงพยาบาลด่านมะขามเตี้ย","38","56","0","0"
"11288  :  โรงพยาบาลสถานพระบารมี","0","0","0","0"
"11520  :  โรงพยาบาลค่ายสุรสีห์","0","0","0","0"
"14136  :  โรงพยาบาลศุกร์ศิริศรีสวัสดิ์","15","0","0","0"
"21948  :  โรงพยาบาลห้วยกระเจา เฉลิมพระเกียรติ 80 พรรษา","22","0","0","0"
"41701  :  โรงพยาบาลหนองปรือ","0","0","0","0"
"10678  :  โรงพยาบาลเจ้าพระยายมราช","583","1","0","355"
"10733  :  โรงพยาบาลสมเด็จพระสังฆราชองค์ที่17","2","19","89","44"
"11289  :  โรงพยาบาลเดิมบางนางบวช","59","0","0","0"
"11290  :  โรงพยาบาลด่านช้าง","209","3","0","0"
"11291  :  โรงพยาบาลบางปลาม้า","10","0","0","11"
"11292  :  โรงพยาบาลศรีประจันต์","0","0","0","0"
"11293  :  โรงพยาบาลดอนเจดีย์","81","50","0","75"
"11294  :  โรงพยาบาลสามชุก","115","0","0","0"
"11295  :  โรงพยาบาลอู่ทอง","145","0","0","0"
"11296  :  โรงพยาบาลหนองหญ้าไซ","53","0","0","0"
"12123  :  โรงพยาบาลวิภาวดี-ปิยราษฎร์","0","0","0","0"
"10679  :  โรงพยาบาลนครปฐม","0","0","0","0"
"11297  :  โรงพยาบาลกำแพงแสน","0","0","0","0"
"11298  :  โรงพยาบาลนครชัยศรี","71","0","0","0"
"11299  :  โรงพยาบาลห้วยพลู","76","0","0","0"
"11300  :  โรงพยาบาลดอนตูม","161","0","0","0"
"11301  :  โรงพยาบาลบางเลน","20","0","0","0"
"11302  :  โรงพยาบาลสามพราน","0","0","20","0"
"11303  :  โรงพยาบาลพุทธมณฑล","0","0","0","0"
"11473  :  โรงพยาบาลเมตตาประชารักษ์(วัดไร่ขิง)","0","0","0","0"
"11521  :  โรงพยาบาลจันทรุเบกษา","0","0","0","0"
"13819  :  โรงพยาบาลหลวงพ่อเปิ่น","0","0","0","0"
"10734  :  โรงพยาบาลสมุทรสาคร","2","116","0","0"
"11304  :  โรงพยาบาลกระทุ่มแบน","0","0","0","0"
"11305  :  โรงพยาบาลบ้านแพ้ว","3","0","0","0"
"12137  :  โรงพยาบาลทั่วไปขนาดเล็กเจษฎา","0","0","0","0"
"10735  :  โรงพยาบาลสมเด็จพระพุทธเลิศหล้า","0","0","0","0"
"11306  :  โรงพยาบาลนภาลัย","0","0","0","0"
"11307  :  โรงพยาบาลอัมพวา","0","0","0","0"
"10736  :  โรงพยาบาลพระจอมเกล้า","0","0","334","1"
"11308  :  โรงพยาบาลเขาย้อย","46","0","0","47"
"11309  :  โรงพยาบาลหนองหญ้าปล้อง","4","0","0","4"
"11310  :  โรงพยาบาลชะอำ","28","0","0","27"
"11311  :  โรงพยาบาลท่ายาง","85","0","0","47"
"11312  :  โรงพยาบาลบ้านลาด","15","0","0","15"
"11313  :  โรงพยาบาลบ้านแหลม","60","0","3","60"
"11314  :  โรงพยาบาลแก่งกระจาน","5","0","0","0"
"10737  :  โรงพยาบาลประจวบคีรีขันธ์","0","0","0","0"
"11315  :  โรงพยาบาลกุยบุรี","83","0","0","86"
"11316  :  โรงพยาบาลทับสะแก","39","0","0","0"
"11317  :  โรงพยาบาลบางสะพาน","0","0","66","1"
"11318  :  โรงพยาบาลบางสะพานน้อย","0","0","0","0"
"11319  :  โรงพยาบาลปราณบุรี","0","0","0","0"
"11320  :  โรงพยาบาลหัวหิน","0","0","0","0"
"11321  :  โรงพยาบาลสามร้อยยอด","59","0","0","57"
"11500  :  โรงพยาบาลกองบิน 5","0","0","0","0"
"11522  :  โรงพยาบาลค่ายธนะรัชต์","0","0","0","0"
"12471  :  สถานีกาชาดหัวหินเฉลิมพระเกียรติ","167","0","0","0"
"10680  :  โรงพยาบาลมหาราชนครศรีธรรมราช","0","0","0","0"
"11322  :  โรงพยาบาลพรหมคีรี","11","0","0","0"
"11324  :  โรงพยาบาลลานสะกา","0","0","0","0"
"11325  :  โรงพยาบาลสมเด็จพระยุพราชฉวาง","2","110","0","0"
"11326  :  โรงพยาบาลพิปูน","0","21","0","0"
"11327  :  โรงพยาบาลเชียรใหญ่","0","0","0","0"
"11328  :  โรงพยาบาลชะอวด","4","0","0","0"
"11329  :  โรงพยาบาลท่าศาลา","322","2","0","5"
"11330  :  โรงพยาบาลทุ่งสง","0","0","0","0"
"11331  :  โรงพยาบาลนาบอน","11","0","0","0"
"11332  :  โรงพยาบาลทุ่งใหญ่","15","0","0","0"
"11333  :  โรงพยาบาลปากพนัง","4","0","0","0"
"11334  :  โรงพยาบาลร่อนพิบูลย์","0","0","0","0"
"11335  :  โรงพยาบาลสิชล","1","0","0","0"
"11336  :  โรงพยาบาลขนอม","0","0","0","0"
"11337  :  โรงพยาบาลหัวไทร","2","0","0","0"
"11338  :  โรงพยาบาลบางขัน","0","0","0","0"
"11339  :  โรงพยาบาลถ้ำพรรณรา","12","2","0","0"
"11523  :  โรงพยาบาลค่ายวชิราวุธ","0","0","0","0"
"11660  :  โรงพยาบาลจุฬาภรณ์","18","0","0","27"
"12287  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 11","0","0","0","0"
"12472  :  สถานีกาชาดสิริธร (สถานีกาชาดที่ 12 ทุ่งสง)","0","0","0","0"
"14918  :  โรงพยาบาลค่ายเทพสตรีศรีสุนทร","0","0","0","0"
"21771  :  โรงพยาบาลเทศบาลนครนครศรีธรรมราช","11","0","3","1"
"40491  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","2","0"
"40492  :  โรงพยาบาลพ่อท่านคล้ายวาจาสิทธิ์","0","0","0","0"
"40742  :  โรงพยาบาลนบพิตำ","0","0","0","0"
"40743  :  โรงพยาบาลพระพรหม","0","0","0","0"
"40970  :  โรงพยาบาลศูนย์การแพทย์มหาวิทยาลัยวลัยลักษณ์","0","0","0","0"
"10738  :  โรงพยาบาลกระบี่","0","0","0","0"
"11340  :  โรงพยาบาลเขาพนม","0","0","0","0"
"11341  :  โรงพยาบาลเกาะลันตา","0","0","0","0"
"11342  :  โรงพยาบาลคลองท่อม","0","0","0","0"
"11343  :  โรงพยาบาลอ่าวลึก","0","0","0","0"
"11344  :  โรงพยาบาลปลายพระยา","0","0","0","0"
"11345  :  โรงพยาบาลลำทับ","0","0","0","0"
"11346  :  โรงพยาบาลเหนือคลอง","0","0","0","0"
"77753  :  โรงพยาบาลเกาะพีพี","0","0","0","0"
"10739  :  โรงพยาบาลพังงา","0","0","0","0"
"10740  :  โรงพยาบาลตะกั่วป่า","0","0","0","0"
"11347  :  โรงพยาบาลเกาะยาวชัยพัฒน์","0","0","0","34"
"11348  :  โรงพยาบาลกะปงชัยพัฒน์","0","34","0","0"
"11349  :  โรงพยาบาลตะกั่วทุ่ง","96","0","0","1"
"11350  :  โรงพยาบาลบางไทร","0","0","0","0"
"11352  :  โรงพยาบาลคุระบุรีชัยพัฒน์","0","0","0","75"
"11353  :  โรงพยาบาลทับปุด","0","0","0","59"
"11354  :  โรงพยาบาลท้ายเหมืองชัยพัฒน์","0","0","3","72"
"10741  :  โรงพยาบาลวชิระภูเก็ต","0","0","0","0"
"11355  :  โรงพยาบาลป่าตอง","1","0","0","0"
"11356  :  โรงพยาบาลถลาง","0","0","0","0"
"24678  :  โรงพยาบาลองค์การบริหารส่วนจังหวัดภูเก็ต","0","0","0","0"
"41436  :  โรงพยาบาลฉลอง","0","0","0","0"
"09192  :  โรงพยาบาลเกาะเต่า","0","0","0","0"
"10681  :  โรงพยาบาลสุราษฎร์ธานี","0","0","0","0"
"10742  :  โรงพยาบาลเกาะสมุย","1","8","0","0"
"11357  :  โรงพยาบาลกาญจนดิษฐ์","0","0","0","0"
"11358  :  โรงพยาบาลดอนสัก","0","0","0","0"
"11359  :  โรงพยาบาลเกาะพงัน","0","0","0","0"
"11360  :  โรงพยาบาลไชยา","46","0","0","0"
"11361  :  โรงพยาบาลท่าชนะ","0","5","1","0"
"11362  :  โรงพยาบาลคีรีรัฐนิคม","0","0","0","0"
"11363  :  โรงพยาบาลบ้านตาขุน","0","0","0","0"
"11364  :  โรงพยาบาลพนม","0","0","0","0"
"11365  :  โรงพยาบาลท่าฉาง","42","0","0","0"
"11366  :  โรงพยาบาลบ้านนาสาร","0","0","0","0"
"11367  :  โรงพยาบาลบ้านนาเดิม","57","0","1","54"
"11368  :  โรงพยาบาลเคียนซา","0","0","0","64"
"11369  :  โรงพยาบาลพระแสง","1","0","0","75"
"11370  :  โรงพยาบาลพุนพิน","0","41","0","0"
"11371  :  โรงพยาบาลชัยบุรี","0","15","0","0"
"11459  :  โรงพยาบาลสมเด็จพระยุพราชเวียงสระ","0","0","0","27"
"11654  :  โรงพยาบาลวิภาวดี","8","3","0","0"
"12289  :  โรงพยาบาลสวนสราญรมย์","0","0","0","0"
"14138  :  โรงพยาบาลท่าโรงช้าง","2","0","10","0"
"14203  :  โรงพยาบาลมะเร็งสุราษฎร์ธานี","0","0","0","0"
"14862  :  โรงพยาบาลกองบิน7","0","0","0","0"
"14901  :  โรงพยาบาลค่ายวิภาวดีรังสิต","0","0","0","0"
"40915  :  สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคใต้","0","0","0","0"
"10743  :  โรงพยาบาลระนอง","71","90","0","0"
"11323  :  โรงพยาบาลละอุ่น","0","0","0","0"
"11372  :  โรงพยาบาลกะเปอร์","53","0","0","0"
"11373  :  โรงพยาบาลกระบุรี","2","81","0","0"
"11374  :  โรงพยาบาลสุขสำราญ","1","25","0","0"
"10744  :  โรงพยาบาลชุมพรเขตรอุดมศักดิ์","0","0","0","0"
"11375  :  โรงพยาบาลปากน้ำชุมพร","0","0","0","29"
"11376  :  โรงพยาบาลท่าแซะ","0","0","0","0"
"11377  :  โรงพยาบาลปะทิว","0","22","0","18"
"11378  :  โรงพยาบาลมาบอำมฤต","0","8","0","74"
"11379  :  โรงพยาบาลหลังสวน","0","0","1","11"
"11380  :  โรงพยาบาลปากน้ำหลังสวน","0","0","0","0"
"11381  :  โรงพยาบาลละแม","0","69","0","18"
"11382  :  โรงพยาบาลพะโต๊ะ","0","0","0","0"
"11383  :  โรงพยาบาลสวี","0","0","0","0"
"11385  :  โรงพยาบาลทุ่งตะโก","33","0","0","0"
"11525  :  โรงพยาบาลค่ายเขตอุดมศักดิ์","0","0","0","0"
"10682  :  โรงพยาบาลหาดใหญ่","0","0","0","0"
"10745  :  โรงพยาบาลสงขลา","0","0","0","0"
"11386  :  โรงพยาบาลสทิงพระ","0","0","0","0"
"11387  :  โรงพยาบาลจะนะ","0","0","0","0"
"11388  :  โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ  อำเภอนาทวี","0","0","0","0"
"11390  :  โรงพยาบาลเทพา","0","0","0","0"
"11391  :  โรงพยาบาลสะบ้าย้อย","0","0","0","0"
"11392  :  โรงพยาบาลระโนด","1","0","0","0"
"11393  :  โรงพยาบาลกระแสสินธุ์","0","0","0","0"
"11394  :  โรงพยาบาลรัตภูมิ","0","0","0","0"
"11395  :  โรงพยาบาลสะเดา","0","0","0","0"
"11396  :  โรงพยาบาลนาหม่อม","0","0","0","0"
"11397  :  โรงพยาบาลควนเนียง","0","0","0","0"
"11398  :  โรงพยาบาลปาดังเบซาร์","0","0","0","0"
"11399  :  โรงพยาบาลบางกล่ำ","0","0","0","0"
"11400  :  โรงพยาบาลสิงหนคร","0","0","0","0"
"11401  :  โรงพยาบาลคลองหอยโข่ง","0","0","0","0"
"12290  :  โรงพยาบาลจิตเวชสงขลาราชนครินทร์","0","0","0","0"
"14194  :  โรงพยาบาลธัญญารักษ์สงขลา","0","0","0","0"
"10746  :  โรงพยาบาลสตูล","0","0","0","0"
"11402  :  โรงพยาบาลควนโดน","0","0","1","0"
"11403  :  โรงพยาบาลควนกาหลง","0","27","0","0"
"11404  :  โรงพยาบาลท่าแพ","0","0","0","0"
"11405  :  โรงพยาบาลละงู","0","0","0","0"
"11406  :  โรงพยาบาลทุ่งหว้า","58","75","0","0"
"28786  :  โรงพยาบาลมะนัง","0","0","0","0"
"10683  :  โรงพยาบาลตรัง","0","0","0","0"
"11407  :  โรงพยาบาลกันตัง","94","0","0","0"
"11408  :  โรงพยาบาลย่านตาขาว","1","0","0","0"
"11409  :  โรงพยาบาลปะเหลียน","0","0","0","0"
"11410  :  โรงพยาบาลสิเกา","38","0","0","21"
"11411  :  โรงพยาบาลห้วยยอด","0","0","0","0"
"11412  :  โรงพยาบาลวังวิเศษ","0","0","0","66"
"11413  :  โรงพยาบาลนาโยง","0","0","0","0"
"12226  :  โรงพยาบาลวัฒนแพทย์","0","0","0","0"
"12230  :  โรงพยาบาล ทีอาร์พีเอช โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0"
"13755  :  โรงพยาบาลโรคผิวหนังเขตร้อนภาคใต้ จังหวัดตรัง","0","0","0","0"
"14139  :  โรงพยาบาลรัษฎา","29","0","0","29"
"28817  :  โรงพยาบาลหาดสำราญเฉลิมพระเกียรติ 80 พรรษา","0","0","0","0"
"10747  :  โรงพยาบาลพัทลุง","0","0","0","0"
"11414  :  โรงพยาบาลกงหรา","0","0","0","21"
"11415  :  โรงพยาบาลเขาชัยสน","0","0","0","0"
"11416  :  โรงพยาบาลตะโหมด","1","1","0","0"
"11417  :  โรงพยาบาลควนขนุน","0","0","0","0"
"11418  :  โรงพยาบาลปากพะยูน","0","0","0","0"
"11419  :  โรงพยาบาลศรีบรรพต","0","0","0","0"
"11420  :  โรงพยาบาลป่าบอน","0","0","0","0"
"11421  :  โรงพยาบาลบางแก้ว","0","0","0","0"
"11422  :  โรงพยาบาลป่าพะยอม","0","0","0","0"
"24673  :  โรงพยาบาลศรีนครินทร์(ปัญญานันทภิขุ)","0","0","0","0"
"10748  :  โรงพยาบาลปัตตานี","0","0","0","0"
"11423  :  โรงพยาบาลโคกโพธิ์","0","0","0","0"
"11424  :  โรงพยาบาลหนองจิก","0","0","0","0"
"11425  :  โรงพยาบาลปะนาเระ","0","0","0","0"
"11426  :  โรงพยาบาลมายอ","0","0","0","0"
"11427  :  โรงพยาบาลทุ่งยางแดง","0","0","0","0"
"11428  :  โรงพยาบาลไม้แก่น","0","0","0","0"
"11429  :  โรงพยาบาลยะหริ่ง","0","0","0","0"
"11430  :  โรงพยาบาลยะรัง","0","0","0","0"
"11431  :  โรงพยาบาลแม่ลาน","0","0","0","0"
"11460  :  โรงพยาบาลสมเด็จพระยุพราชสายบุรี","0","0","0","0"
"11464  :  โรงพยาบาลกะพ้อ","0","0","0","0"
"11529  :  โรงพยาบาลค่ายอิงคยุทธบริหาร","0","0","0","0"
"14195  :  โรงพยาบาลธัญญรักษ์ปัตตานี","0","0","0","0"
"10684  :  โรงพยาบาลยะลา","0","0","0","0"
"10749  :  โรงพยาบาลเบตง","0","0","0","0"
"11432  :  โรงพยาบาลบันนังสตา","0","0","0","0"
"11433  :  โรงพยาบาลธารโต","0","0","0","0"
"11434  :  โรงพยาบาลรามัน","0","0","0","0"
"11461  :  โรงพยาบาลสมเด็จพระยุพราชยะหา","0","0","0","0"
"12238  :  โรงพยาบาลสิโรรส","0","0","0","0"
"13806  :  โรงพยาบาลกาบัง","0","0","0","0"
"14663  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 12","0","0","0","0"
"24689  :  โรงพยาบาลกรงปินัง","0","0","0","0"
"10750  :  โรงพยาบาลนราธิวาสราชนครินทร์","0","0","0","0"
"10751  :  โรงพยาบาลสุไหงโก-ลก","3","13","6","0"
"11435  :  โรงพยาบาลตากใบ","0","132","0","0"
"11436  :  โรงพยาบาลบาเจาะ","0","0","0","0"
"11437  :  โรงพยาบาลระแงะ","13","0","0","0"
"11438  :  โรงพยาบาลรือเสาะ","1","0","59","0"
"11439  :  โรงพยาบาลศรีสาคร","153","0","0","0"
"11440  :  โรงพยาบาลแว้ง","0","2","0","0"
"11441  :  โรงพยาบาลสุคิริน","5","8","0","0"
"11442  :  โรงพยาบาลสุไหงปาดี","3","32","0","0"
"13818  :  โรงพยาบาลจะแนะ","0","55","50","0"
"15010  :  โรงพยาบาลเจาะไอร้อง","69","0","0","0"
"23771  :  โรงพยาบาลยี่งอเฉลิมพระเกียรติ 80 พรรษา","0","0","0","0"
