"โรงพยาบาล","B","A","อัตรา"
"12030  :  โรงพยาบาลพริ้นซ์ ปากน้ำโพ 1 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12033  :  โรงพยาบาลรวมแพทย์นครสวรรค์","0","0","0.00"
"12034  :  โรงพยาบาลพริ้นซ์ ปากน้ำโพ 2 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12042  :  โรงพยาบาลร่มฉัตร","0","0","0.00"
"12044  :  โรงพยาบาลศรีสวรรค์","0","0","0.00"
"12284  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 3","0","0","0.00"
"14171  :  โรงพยาบาลจิตเวชนครสวรรค์ราชนครินทร์","0","0","0.00"
"40749  :  โรงพยาบาลชุมตาบง","1","1","100.00"
"10720  :  โรงพยาบาลอุทัยธานี","0","0","0.00"
"11221  :  โรงพยาบาลทัพทัน","3","3","100.00"
"11222  :  โรงพยาบาลสว่างอารมณ์","6","6","100.00"
"11223  :  โรงพยาบาลหนองฉาง","3","3","100.00"
"11224  :  โรงพยาบาลหนองขาหย่าง","5","5","100.00"
"11225  :  โรงพยาบาลบ้านไร่","11","11","100.00"
"11226  :  โรงพยาบาลลานสัก","9","9","100.00"
"11227  :  โรงพยาบาลห้วยคต","8","8","100.00"
"10721  :  โรงพยาบาลกำแพงเพชร","0","0","0.00"
"11228  :  โรงพยาบาลทุ่งโพธิ์ทะเล","8","8","100.00"
"11229  :  โรงพยาบาลไทรงาม","6","6","100.00"
"11230  :  โรงพยาบาลคลองลาน","12","12","100.00"
"11231  :  โรงพยาบาลขาณุวรลักษบุรี","7","7","100.00"
"11232  :  โรงพยาบาลคลองขลุง","9","9","100.00"
"11233  :  โรงพยาบาลพรานกระต่าย","3","3","100.00"
"11234  :  โรงพยาบาลลานกระบือ","12","12","100.00"
"11235  :  โรงพยาบาลทรายทองวัฒนา","8","8","100.00"
"11236  :  โรงพยาบาลปางศิลาทอง","4","4","100.00"
"14135  :  โรงพยาบาลบึงสามัคคี","6","6","100.00"
"28010  :  โรงพยาบาลโกสัมพีนคร","5","5","100.00"
"10722  :  โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช","13","13","100.00"
"10723  :  โรงพยาบาลแม่สอด","8","8","100.00"
"11238  :  โรงพยาบาลบ้านตาก","8","8","100.00"
"11239  :  โรงพยาบาลสามเงา","9","9","100.00"
"11240  :  โรงพยาบาลแม่ระมาด","10","10","100.00"
"11241  :  โรงพยาบาลท่าสองยาง","8","8","100.00"
"11242  :  โรงพยาบาลพบพระ","12","12","100.00"
"11243  :  โรงพยาบาลอุ้มผาง","7","7","100.00"
"27443  :  โรงพยาบาลวังเจ้า","3","3","100.00"
"10724  :  โรงพยาบาลสุโขทัย","3","3","100.00"
"10725  :  โรงพยาบาลศรีสังวรสุโขทัย","3","3","100.00"
"11244  :  โรงพยาบาลบ้านด่านลานหอย","11","11","100.00"
"11245  :  โรงพยาบาลคีรีมาศ","6","6","100.00"
"11246  :  โรงพยาบาลกงไกรลาศ","2","2","100.00"
"11247  :  โรงพยาบาลศรีสัชนาลัย","8","8","100.00"
"11248  :  โรงพยาบาลสวรรคโลก","0","0","0.00"
"11249  :  โรงพยาบาลศรีนคร","8","8","100.00"
"11250  :  โรงพยาบาลทุ่งเสลี่ยม","15","15","100.00"
"10676  :  โรงพยาบาลพุทธชินราช","0","0","0.00"
"11251  :  โรงพยาบาลชาติตระการ","7","7","100.00"
"11252  :  โรงพยาบาลบางระกำ","10","10","100.00"
"11253  :  โรงพยาบาลบางกระทุ่ม","5","5","100.00"
"11254  :  โรงพยาบาลพรหมพิราม","13","13","100.00"
"11255  :  โรงพยาบาลวัดโบสถ์","7","7","100.00"
"11256  :  โรงพยาบาลวังทอง","0","0","0.00"
"11257  :  โรงพยาบาลเนินมะปราง","6","6","100.00"
"11455  :  โรงพยาบาลสมเด็จพระยุพราชนครไทย","8","8","100.00"
"11517  :  โรงพยาบาลค่ายสมเด็จพระนเรศวร","0","0","0.00"
"14972  :  โรงพยาบาลมหาวิทยาลัยนเรศวร","0","0","0.00"
"41429  :  โรงพยาบาลจิตเวชพิษณุโลก","0","0","0.00"
"10726  :  โรงพยาบาลพิจิตร","12","12","100.00"
"11258  :  โรงพยาบาลวังทรายพูน","3","3","100.00"
"11259  :  โรงพยาบาลโพธิ์ประทับช้าง","8","8","100.00"
"11260  :  โรงพยาบาลบางมูลนาก","9","9","100.00"
"11261  :  โรงพยาบาลโพทะเล","9","9","100.00"
"11262  :  โรงพยาบาลสามง่าม","6","6","100.00"
"11263  :  โรงพยาบาลทับคล้อ","6","6","100.00"
"11456  :  โรงพยาบาลสมเด็จพระยุพราชตะพานหิน","10","10","100.00"
"11631  :  โรงพยาบาลวชิรบารมี","3","3","100.00"
"27978  :  โรงพยาบาลสากเหล็ก","4","4","100.00"
"27979  :  โรงพยาบาลบึงนาราง","1","1","100.00"
"27980  :  โรงพยาบาลดงเจริญ","1","1","100.00"
"10727  :  โรงพยาบาลเพชรบูรณ์","13","13","100.00"
"11264  :  โรงพยาบาลชนแดน","16","16","100.00"
"11265  :  โรงพยาบาลหล่มสัก","17","17","100.00"
"11266  :  โรงพยาบาลวิเชียรบุรี","3","3","100.00"
"11267  :  โรงพยาบาลศรีเทพ","10","10","100.00"
"11268  :  โรงพยาบาลหนองไผ่","12","12","100.00"
"11269  :  โรงพยาบาลบึงสามพัน","6","6","100.00"
"11270  :  โรงพยาบาลน้ำหนาว","6","6","100.00"
"11271  :  โรงพยาบาลวังโป่ง","9","9","100.00"
"11272  :  โรงพยาบาลเขาค้อ","2","2","100.00"
"11457  :  โรงพยาบาลสมเด็จพระยุพราชหล่มเก่า","13","13","100.00"
"11946  :  โรงพยาบาลค่ายพ่อขุนผาเมือง","1","1","100.00"
"10677  :  โรงพยาบาลราชบุรี","0","0","0.00"
"10728  :  โรงพยาบาลดำเนินสะดวก","0","0","0.00"
"10729  :  โรงพยาบาลบ้านโป่ง","0","0","0.00"
"10730  :  โรงพยาบาลโพธาราม","7","7","100.00"
"11273  :  โรงพยาบาลสวนผึ้ง","5","5","100.00"
"11274  :  โรงพยาบาลบางแพ","5","5","100.00"
"11275  :  โรงพยาบาลเจ็ดเสมียน","2","2","100.00"
"11276  :  โรงพยาบาลปากท่อ","5","5","100.00"
"11277  :  โรงพยาบาลวัดเพลง","5","5","100.00"
"11458  :  โรงพยาบาลสมเด็จพระยุพราชจอมบึง","8","8","100.00"
"11519  :  โรงพยาบาลค่ายภาณุรังษี","2","2","100.00"
"12093  :  สถานพยาบาลแพทย์ประดิษฐ์","0","0","0.00"
"12097  :  มหาชัยพร้อมแพทย์โรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00"
"12098  :  โรงพยาบาลกรุงเทพเมืองราชโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12103  :  โรงพยาบาลซานคามิลโล","0","0","0.00"
"12286  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 5","0","0","0.00"
"28858  :  โรงพยาบาลบ้านคา","1","1","100.00"
"10731  :  โรงพยาบาลพหลพลพยุหเสนา","2","2","100.00"
"10732  :  โรงพยาบาลมะการักษ์","8","8","100.00"
"11278  :  โรงพยาบาลไทรโยค","8","8","100.00"
"11279  :  โรงพยาบาลสมเด็จพระปิยมหาราชรมณียเขต","3","3","100.00"
"11280  :  โรงพยาบาลบ่อพลอย","11","11","100.00"
"11281  :  โรงพยาบาลท่ากระดาน","5","5","100.00"
"11282  :  โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ ๑๙","9","9","100.00"
"11283  :  โรงพยาบาลทองผาภูมิ","7","7","100.00"
"11284  :  โรงพยาบาลสังขละบุรี","5","5","100.00"
"11285  :  โรงพยาบาลเจ้าคุณไพบูลย์พนมทวน","7","7","100.00"
"11286  :  โรงพยาบาลเลาขวัญ","5","5","100.00"
"11287  :  โรงพยาบาลด่านมะขามเตี้ย","8","8","100.00"
"11288  :  โรงพยาบาลสถานพระบารมี","4","4","100.00"
"11520  :  โรงพยาบาลค่ายสุรสีห์","1","1","100.00"
"14136  :  โรงพยาบาลศุกร์ศิริศรีสวัสดิ์","4","4","100.00"
"21948  :  โรงพยาบาลห้วยกระเจา เฉลิมพระเกียรติ 80 พรรษา","7","7","100.00"
"41701  :  โรงพยาบาลหนองปรือ","2","2","100.00"
"10678  :  โรงพยาบาลเจ้าพระยายมราช","15","15","100.00"
"10733  :  โรงพยาบาลสมเด็จพระสังฆราชองค์ที่17","10","10","100.00"
"11289  :  โรงพยาบาลเดิมบางนางบวช","7","7","100.00"
"11290  :  โรงพยาบาลด่านช้าง","14","14","100.00"
"11291  :  โรงพยาบาลบางปลาม้า","7","7","100.00"
"11292  :  โรงพยาบาลศรีประจันต์","9","9","100.00"
"11293  :  โรงพยาบาลดอนเจดีย์","8","8","100.00"
"11294  :  โรงพยาบาลสามชุก","8","8","100.00"
"11295  :  โรงพยาบาลอู่ทอง","12","12","100.00"
"11296  :  โรงพยาบาลหนองหญ้าไซ","12","12","100.00"
"12123  :  โรงพยาบาลวิภาวดี-ปิยราษฎร์","0","0","0.00"
"10679  :  โรงพยาบาลนครปฐม","0","0","0.00"
"11297  :  โรงพยาบาลกำแพงแสน","6","6","100.00"
"11298  :  โรงพยาบาลนครชัยศรี","8","8","100.00"
"11299  :  โรงพยาบาลห้วยพลู","5","5","100.00"
"11300  :  โรงพยาบาลดอนตูม","4","4","100.00"
"11301  :  โรงพยาบาลบางเลน","4","4","100.00"
"11302  :  โรงพยาบาลสามพราน","6","6","100.00"
"11303  :  โรงพยาบาลพุทธมณฑล","3","3","100.00"
"11473  :  โรงพยาบาลเมตตาประชารักษ์(วัดไร่ขิง)","0","0","0.00"
"11521  :  โรงพยาบาลจันทรุเบกษา","2","2","100.00"
"13819  :  โรงพยาบาลหลวงพ่อเปิ่น","0","0","0.00"
"10734  :  โรงพยาบาลสมุทรสาคร","0","0","0.00"
"11304  :  โรงพยาบาลกระทุ่มแบน","0","0","0.00"
"11305  :  โรงพยาบาลบ้านแพ้ว","0","0","0.00"
"12137  :  โรงพยาบาลทั่วไปขนาดเล็กเจษฎา","7","7","100.00"
"10735  :  โรงพยาบาลสมเด็จพระพุทธเลิศหล้า","0","0","0.00"
"11306  :  โรงพยาบาลนภาลัย","0","0","0.00"
"11307  :  โรงพยาบาลอัมพวา","2","2","100.00"
"10736  :  โรงพยาบาลพระจอมเกล้า","13","13","100.00"
"11308  :  โรงพยาบาลเขาย้อย","2","2","100.00"
"11309  :  โรงพยาบาลหนองหญ้าปล้อง","1","1","100.00"
"11310  :  โรงพยาบาลชะอำ","11","11","100.00"
"11311  :  โรงพยาบาลท่ายาง","4","4","100.00"
"11312  :  โรงพยาบาลบ้านลาด","1","1","100.00"
"11313  :  โรงพยาบาลบ้านแหลม","5","5","100.00"
"11314  :  โรงพยาบาลแก่งกระจาน","2","2","100.00"
"10737  :  โรงพยาบาลประจวบคีรีขันธ์","0","0","0.00"
"11315  :  โรงพยาบาลกุยบุรี","7","7","100.00"
"11316  :  โรงพยาบาลทับสะแก","5","5","100.00"
"11317  :  โรงพยาบาลบางสะพาน","9","9","100.00"
"11318  :  โรงพยาบาลบางสะพานน้อย","0","0","0.00"
"11319  :  โรงพยาบาลปราณบุรี","0","0","0.00"
"11320  :  โรงพยาบาลหัวหิน","0","0","0.00"
"11321  :  โรงพยาบาลสามร้อยยอด","7","7","100.00"
"11500  :  โรงพยาบาลกองบิน 5","0","0","0.00"
"11522  :  โรงพยาบาลค่ายธนะรัชต์","4","4","100.00"
"12471  :  สถานีกาชาดหัวหินเฉลิมพระเกียรติ","4","4","100.00"
"10680  :  โรงพยาบาลมหาราชนครศรีธรรมราช","0","0","0.00"
"11322  :  โรงพยาบาลพรหมคีรี","6","6","100.00"
"11324  :  โรงพยาบาลลานสะกา","5","5","100.00"
"11325  :  โรงพยาบาลสมเด็จพระยุพราชฉวาง","10","10","100.00"
"11326  :  โรงพยาบาลพิปูน","2","2","100.00"
"11327  :  โรงพยาบาลเชียรใหญ่","8","8","100.00"
"11328  :  โรงพยาบาลชะอวด","13","13","100.00"
"11329  :  โรงพยาบาลท่าศาลา","24","24","100.00"
"11330  :  โรงพยาบาลทุ่งสง","2","2","100.00"
"11331  :  โรงพยาบาลนาบอน","8","8","100.00"
"11332  :  โรงพยาบาลทุ่งใหญ่","13","13","100.00"
"11333  :  โรงพยาบาลปากพนัง","13","13","100.00"
"11334  :  โรงพยาบาลร่อนพิบูลย์","0","0","0.00"
"11335  :  โรงพยาบาลสิชล","5","5","100.00"
"11336  :  โรงพยาบาลขนอม","11","11","100.00"
"11337  :  โรงพยาบาลหัวไทร","5","5","100.00"
"11338  :  โรงพยาบาลบางขัน","0","0","0.00"
"11339  :  โรงพยาบาลถ้ำพรรณรา","6","6","100.00"
"11523  :  โรงพยาบาลค่ายวชิราวุธ","5","5","100.00"
"11660  :  โรงพยาบาลจุฬาภรณ์","7","7","100.00"
"12287  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 11","0","0","0.00"
"12472  :  สถานีกาชาดสิริธร (สถานีกาชาดที่ 12 ทุ่งสง)","7","7","100.00"
"14918  :  โรงพยาบาลค่ายเทพสตรีศรีสุนทร","0","0","0.00"
"21771  :  โรงพยาบาลเทศบาลนครนครศรีธรรมราช","49","49","100.00"
"40491  :  โรงพยาบาลเฉลิมพระเกียรติ","5","5","100.00"
"40492  :  โรงพยาบาลพ่อท่านคล้ายวาจาสิทธิ์","5","5","100.00"
"40742  :  โรงพยาบาลนบพิตำ","5","5","100.00"
"40743  :  โรงพยาบาลพระพรหม","4","4","100.00"
"40970  :  โรงพยาบาลศูนย์การแพทย์มหาวิทยาลัยวลัยลักษณ์","0","0","0.00"
"10738  :  โรงพยาบาลกระบี่","0","0","0.00"
"11340  :  โรงพยาบาลเขาพนม","0","0","0.00"
"11341  :  โรงพยาบาลเกาะลันตา","2","2","100.00"
"11342  :  โรงพยาบาลคลองท่อม","0","0","0.00"
"11343  :  โรงพยาบาลอ่าวลึก","0","0","0.00"
"11344  :  โรงพยาบาลปลายพระยา","0","0","0.00"
"11345  :  โรงพยาบาลลำทับ","1","1","100.00"
"11346  :  โรงพยาบาลเหนือคลอง","0","0","0.00"
"77753  :  โรงพยาบาลเกาะพีพี","2","2","100.00"
"10739  :  โรงพยาบาลพังงา","0","0","0.00"
"10740  :  โรงพยาบาลตะกั่วป่า","4","4","100.00"
"11347  :  โรงพยาบาลเกาะยาวชัยพัฒน์","6","6","100.00"
"11348  :  โรงพยาบาลกะปงชัยพัฒน์","5","5","100.00"
"11349  :  โรงพยาบาลตะกั่วทุ่ง","4","4","100.00"
"11350  :  โรงพยาบาลบางไทร","2","2","100.00"
"11352  :  โรงพยาบาลคุระบุรีชัยพัฒน์","5","5","100.00"
"11353  :  โรงพยาบาลทับปุด","4","4","100.00"
"11354  :  โรงพยาบาลท้ายเหมืองชัยพัฒน์","8","8","100.00"
"10741  :  โรงพยาบาลวชิระภูเก็ต","8","8","100.00"
"11355  :  โรงพยาบาลป่าตอง","7","7","100.00"
"11356  :  โรงพยาบาลถลาง","0","0","0.00"
"24678  :  โรงพยาบาลองค์การบริหารส่วนจังหวัดภูเก็ต","4","4","100.00"
"41436  :  โรงพยาบาลฉลอง","0","0","0.00"
"09192  :  โรงพยาบาลเกาะเต่า","2","2","100.00"
"10681  :  โรงพยาบาลสุราษฎร์ธานี","0","0","0.00"
"10742  :  โรงพยาบาลเกาะสมุย","7","7","100.00"
"11357  :  โรงพยาบาลกาญจนดิษฐ์","0","0","0.00"
"11358  :  โรงพยาบาลดอนสัก","14","14","100.00"
"11359  :  โรงพยาบาลเกาะพงัน","3","3","100.00"
"11360  :  โรงพยาบาลไชยา","7","7","100.00"
"11361  :  โรงพยาบาลท่าชนะ","9","9","100.00"
"11362  :  โรงพยาบาลคีรีรัฐนิคม","0","0","0.00"
"11363  :  โรงพยาบาลบ้านตาขุน","6","6","100.00"
"11364  :  โรงพยาบาลพนม","4","4","100.00"
"11365  :  โรงพยาบาลท่าฉาง","4","4","100.00"
"11366  :  โรงพยาบาลบ้านนาสาร","0","0","0.00"
"11367  :  โรงพยาบาลบ้านนาเดิม","8","8","100.00"
"11368  :  โรงพยาบาลเคียนซา","10","10","100.00"
"11369  :  โรงพยาบาลพระแสง","9","9","100.00"
"11370  :  โรงพยาบาลพุนพิน","17","17","100.00"
"11371  :  โรงพยาบาลชัยบุรี","1","1","100.00"
"11459  :  โรงพยาบาลสมเด็จพระยุพราชเวียงสระ","7","7","100.00"
"11654  :  โรงพยาบาลวิภาวดี","3","3","100.00"
"12289  :  โรงพยาบาลสวนสราญรมย์","0","0","0.00"
"14138  :  โรงพยาบาลท่าโรงช้าง","2","2","100.00"
"14203  :  โรงพยาบาลมะเร็งสุราษฎร์ธานี","0","0","0.00"
"14862  :  โรงพยาบาลกองบิน7","1","1","100.00"
"14901  :  โรงพยาบาลค่ายวิภาวดีรังสิต","1","1","100.00"
"40915  :  สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคใต้","0","0","0.00"
"10743  :  โรงพยาบาลระนอง","6","6","100.00"
"11323  :  โรงพยาบาลละอุ่น","0","0","0.00"
"11372  :  โรงพยาบาลกะเปอร์","9","9","100.00"
"11373  :  โรงพยาบาลกระบุรี","9","9","100.00"
"11374  :  โรงพยาบาลสุขสำราญ","6","6","100.00"
"10744  :  โรงพยาบาลชุมพรเขตรอุดมศักดิ์","0","0","0.00"
"11375  :  โรงพยาบาลปากน้ำชุมพร","0","0","0.00"
"11376  :  โรงพยาบาลท่าแซะ","1","1","100.00"
"11377  :  โรงพยาบาลปะทิว","0","0","0.00"
"11378  :  โรงพยาบาลมาบอำมฤต","0","0","0.00"
"11379  :  โรงพยาบาลหลังสวน","3","3","100.00"
"11380  :  โรงพยาบาลปากน้ำหลังสวน","0","0","0.00"
"11381  :  โรงพยาบาลละแม","4","4","100.00"
"11382  :  โรงพยาบาลพะโต๊ะ","0","0","0.00"
"11383  :  โรงพยาบาลสวี","2","2","100.00"
"11385  :  โรงพยาบาลทุ่งตะโก","1","1","100.00"
"11525  :  โรงพยาบาลค่ายเขตอุดมศักดิ์","0","0","0.00"
"10682  :  โรงพยาบาลหาดใหญ่","0","0","0.00"
"10745  :  โรงพยาบาลสงขลา","0","0","0.00"
"11386  :  โรงพยาบาลสทิงพระ","0","0","0.00"
"11387  :  โรงพยาบาลจะนะ","0","0","0.00"
"11388  :  โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ  อำเภอนาทวี","0","0","0.00"
"11390  :  โรงพยาบาลเทพา","0","0","0.00"
"11391  :  โรงพยาบาลสะบ้าย้อย","0","0","0.00"
"11392  :  โรงพยาบาลระโนด","0","0","0.00"
"11393  :  โรงพยาบาลกระแสสินธุ์","0","0","0.00"
"11394  :  โรงพยาบาลรัตภูมิ","0","0","0.00"
"11395  :  โรงพยาบาลสะเดา","0","0","0.00"
"11396  :  โรงพยาบาลนาหม่อม","0","0","0.00"
"11397  :  โรงพยาบาลควนเนียง","0","0","0.00"
"11398  :  โรงพยาบาลปาดังเบซาร์","0","0","0.00"
"11399  :  โรงพยาบาลบางกล่ำ","0","0","0.00"
"11400  :  โรงพยาบาลสิงหนคร","0","0","0.00"
"11401  :  โรงพยาบาลคลองหอยโข่ง","0","0","0.00"
"12290  :  โรงพยาบาลจิตเวชสงขลาราชนครินทร์","0","0","0.00"
"14194  :  โรงพยาบาลธัญญารักษ์สงขลา","0","0","0.00"
"10746  :  โรงพยาบาลสตูล","0","0","0.00"
"11402  :  โรงพยาบาลควนโดน","8","8","100.00"
"11403  :  โรงพยาบาลควนกาหลง","8","8","100.00"
"11404  :  โรงพยาบาลท่าแพ","13","13","100.00"
"11405  :  โรงพยาบาลละงู","0","0","0.00"
"11406  :  โรงพยาบาลทุ่งหว้า","7","7","100.00"
"28786  :  โรงพยาบาลมะนัง","3","3","100.00"
"10683  :  โรงพยาบาลตรัง","5","5","100.00"
"11407  :  โรงพยาบาลกันตัง","5","5","100.00"
"11408  :  โรงพยาบาลย่านตาขาว","8","8","100.00"
"11409  :  โรงพยาบาลปะเหลียน","1","1","100.00"
"11410  :  โรงพยาบาลสิเกา","9","9","100.00"
"11411  :  โรงพยาบาลห้วยยอด","0","0","0.00"
"11412  :  โรงพยาบาลวังวิเศษ","5","5","100.00"
"11413  :  โรงพยาบาลนาโยง","0","0","0.00"
"12226  :  โรงพยาบาลวัฒนแพทย์","0","0","0.00"
"12230  :  โรงพยาบาล ทีอาร์พีเอช โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"13755  :  โรงพยาบาลโรคผิวหนังเขตร้อนภาคใต้ จังหวัดตรัง","0","0","0.00"
"14139  :  โรงพยาบาลรัษฎา","1","1","100.00"
"28817  :  โรงพยาบาลหาดสำราญเฉลิมพระเกียรติ 80 พรรษา","2","2","100.00"
"10747  :  โรงพยาบาลพัทลุง","0","0","0.00"
"11414  :  โรงพยาบาลกงหรา","7","7","100.00"
"11415  :  โรงพยาบาลเขาชัยสน","7","7","100.00"
"11416  :  โรงพยาบาลตะโหมด","8","8","100.00"
"11417  :  โรงพยาบาลควนขนุน","0","0","0.00"
"11418  :  โรงพยาบาลปากพะยูน","0","0","0.00"
"11419  :  โรงพยาบาลศรีบรรพต","5","5","100.00"
"11420  :  โรงพยาบาลป่าบอน","5","5","100.00"
"11421  :  โรงพยาบาลบางแก้ว","9","9","100.00"
"11422  :  โรงพยาบาลป่าพะยอม","0","0","0.00"
"24673  :  โรงพยาบาลศรีนครินทร์(ปัญญานันทภิขุ)","5","5","100.00"
"10748  :  โรงพยาบาลปัตตานี","12","12","100.00"
"11423  :  โรงพยาบาลโคกโพธิ์","0","0","0.00"
"11424  :  โรงพยาบาลหนองจิก","6","6","100.00"
"11425  :  โรงพยาบาลปะนาเระ","5","5","100.00"
"11426  :  โรงพยาบาลมายอ","3","3","100.00"
"11427  :  โรงพยาบาลทุ่งยางแดง","5","5","100.00"
"11428  :  โรงพยาบาลไม้แก่น","8","8","100.00"
"11429  :  โรงพยาบาลยะหริ่ง","5","5","100.00"
"11430  :  โรงพยาบาลยะรัง","1","1","100.00"
"11431  :  โรงพยาบาลแม่ลาน","1","1","100.00"
"11460  :  โรงพยาบาลสมเด็จพระยุพราชสายบุรี","11","11","100.00"
"11464  :  โรงพยาบาลกะพ้อ","5","5","100.00"
"11529  :  โรงพยาบาลค่ายอิงคยุทธบริหาร","0","0","0.00"
"14195  :  โรงพยาบาลธัญญรักษ์ปัตตานี","0","0","0.00"
"10684  :  โรงพยาบาลยะลา","0","0","0.00"
"10749  :  โรงพยาบาลเบตง","2","2","100.00"
"11432  :  โรงพยาบาลบันนังสตา","0","0","0.00"
"11433  :  โรงพยาบาลธารโต","7","7","100.00"
"11434  :  โรงพยาบาลรามัน","0","0","0.00"
"11461  :  โรงพยาบาลสมเด็จพระยุพราชยะหา","0","0","0.00"
"12238  :  โรงพยาบาลสิโรรส","0","0","0.00"
"13806  :  โรงพยาบาลกาบัง","0","0","0.00"
"14663  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 12","0","0","0.00"
"24689  :  โรงพยาบาลกรงปินัง","0","0","0.00"
"10750  :  โรงพยาบาลนราธิวาสราชนครินทร์","0","0","0.00"
"10751  :  โรงพยาบาลสุไหงโก-ลก","0","0","0.00"
"11435  :  โรงพยาบาลตากใบ","7","7","100.00"
"11436  :  โรงพยาบาลบาเจาะ","14","14","100.00"
"11437  :  โรงพยาบาลระแงะ","15","15","100.00"
"11438  :  โรงพยาบาลรือเสาะ","8","8","100.00"
"11439  :  โรงพยาบาลศรีสาคร","8","8","100.00"
"11440  :  โรงพยาบาลแว้ง","12","12","100.00"
"11441  :  โรงพยาบาลสุคิริน","7","7","100.00"
"11442  :  โรงพยาบาลสุไหงปาดี","14","14","100.00"
"13818  :  โรงพยาบาลจะแนะ","10","10","100.00"
"15010  :  โรงพยาบาลเจาะไอร้อง","11","11","100.00"
"23771  :  โรงพยาบาลยี่งอเฉลิมพระเกียรติ 80 พรรษา","5","5","100.00"
